CELL_LINE,COMPOUND_A,COMPOUND_B,MAX_CONC_A,MAX_CONC_B,IC50_A,H_A,Einf_A,IC50_B,H_B,Einf_B,SYNERGY_SCORE,QA,COMBINATION_ID
BT-20,PIK3CB_PIK3CD,AKT_1,1,1,0.303891456,10,82.89985504,0.076547092,1.2699739,68.45987314,1.851047,1,AKT_1.PIK3CB_PIK3CD
CAL-148,PIK3CB_PIK3CD,AKT_1,1,1,0.343986067,10,24.59825067,0.334446918,1.2014325,0,12.17552,1,AKT_1.PIK3CB_PIK3CD
HCC1806,PIK3CB_PIK3CD,AKT_1,1,1,1,0,100,0.250039084,1.9923195,29.99917061,47.79886,1,AKT_1.PIK3CB_PIK3CD
HCC1143,PIK3C_2,AKT_1,1,1,0.344056453,2.1956105,57.02929024,1,0.6784798,46.09945036,2.044941,1,AKT_1.PIK3C_2
HCC1187,PIK3C_2,AKT_1,1,1,0.382717043,1.0339919,0,0.28304018,0.5236124,10.1448126,8.32519,1,AKT_1.PIK3C_2
MDA-MB-468,PIK3C_2,AKT_1,1,1,1,1.5044778,5.72031271,0.416547724,1.4049603,44.69783159,8.75136,1,AKT_1.PIK3C_2
CAL-120,BCL2_BCL2L1,AKT_SGK,1,1,0.281953304,0.5031753,0,0.375635955,0.6455937,55.24909874,-4.552796,1,AKT_SGK.BCL2_BCL2L1
HCC1806,BCL2_BCL2L1,AKT_SGK,1,1,1,0,100,0.314810758,10,61.49958361,5.263332,1,AKT_SGK.BCL2_BCL2L1
HCC38,BCL2_BCL2L1,AKT_SGK,1,1,0.178136156,1.8495247,7.66018238,0.328968136,10,86.99978983,-9.884569,1,AKT_SGK.BCL2_BCL2L1
MDA-MB-453,BCL2_BCL2L1,AKT_SGK,1,1,0.224715049,2.9688175,84.69533369,0.182430008,1.6706203,12.3407569,-2.259038,1,AKT_SGK.BCL2_BCL2L1
BT-549,FGFR,AKT_SGK,1,1,0.157868063,0.999416,58.84743706,1,0.5364711,2.47887994,27.59494,1,AKT_SGK.FGFR
CAL-51,FGFR,AKT_SGK,1,1,1,2.9279322,74.01373792,0.133740358,1.1720112,27.03853853,-13.3358,1,AKT_SGK.FGFR
Hs-578-T,FGFR,AKT_SGK,1,1,0.057351352,10,87.62100329,0.18383377,1.8276342,39.38793426,35.58254,1,AKT_SGK.FGFR
MDA-MB-231,FGFR,AKT_SGK,1,1,1,0,100,0.25590388,2.7244568,82.99964024,6.124451,1,AKT_SGK.FGFR
Hs-578-T,MAP2K_1,AKT_SGK,1,1,1,0.4481577,59.6844079,0.159045251,1.7270378,37.17211685,11.04785,1,AKT_SGK.MAP2K_1
MDA-MB-231,MAP2K_1,AKT_SGK,1,1,0.917241511,0.7992548,0,1,0.7899256,52.15322957,28.51286,1,AKT_SGK.MAP2K_1
MDA-MB-436,MAP2K_1,AKT_SGK,1,1,0.065468317,0.6600302,50.95536976,0.253195306,4.7325885,67.85189431,2.378303,1,AKT_SGK.MAP2K_1
MDA-MB-453,MAP2K_1,AKT_SGK,1,1,1,0,100,0.186525801,1.7097218,12.37724752,-12.72298,1,AKT_SGK.MAP2K_1
BT-549,PIK3C,AKT_SGK,1,1,0.289087178,10,47.59962298,0.207471568,1.0767016,46.4514854,9.223287,1,AKT_SGK.PIK3C
HCC1187,PIK3C,AKT_SGK,1,1,0.263225795,4.0604327,26.47553187,0.166127269,1.3528442,44.44753461,31.26614,1,AKT_SGK.PIK3C
HCC1428,PIK3C,AKT_SGK,1,1,1,0.5955597,59.73504922,1,0.6029697,55.78964845,-0.5884692,1,AKT_SGK.PIK3C
MDA-MB-468,PIK3C,AKT_SGK,1,1,1,0,100,0.429618882,1.6058406,45.70149616,10.13577,1,AKT_SGK.PIK3C
HCC1937,ALK_IGFR,AKT,1,1,1,0.732331,68.55868429,0.312136404,0.9208932,54.56344698,13.64358,1,AKT.ALK_IGFR
HCC38,ALK_IGFR,AKT,1,1,0.338026653,10,75.49952131,1,10,63.40009908,-4.917333,1,AKT.ALK_IGFR
HCC70,ALK_IGFR,AKT,1,1,1.00E-04,0.1,93.60520191,0.259269633,0.8698514,0,14.28817,1,AKT.ALK_IGFR
MDA-MB-453,ALK_IGFR,AKT,1,1,0.289253232,10,22.39963604,0.236069598,1.261764,21.74360965,5.656754,1,AKT.ALK_IGFR
HCC1937,ALK_IGFR,AKT_1,1,1,0.28383344,2.2743659,90.47576954,1,0.4865957,43.35055455,-4.55423,1,AKT_1.ALK_IGFR
MDA-MB-231,ALK_IGFR,AKT_1,1,1,0.319037,10,88.59986207,1,0.626198,53.81529469,5.747195,1,AKT_1.ALK_IGFR
MFM-223,ALK_IGFR,AKT_1,1,1,0.254099481,1.5867247,27.18148769,0.350844011,0.7720568,0,29.12629,1,AKT_1.ALK_IGFR
CAL-120,MTOR_1,ALK_IGFR,1,1,0.164708038,2.3649177,40.78330751,0.31558641,10,63.29962143,37.86855,1,ALK_IGFR.MTOR_1
HCC1395,MTOR_1,ALK_IGFR,1,1,0.764491595,0.8310003,0,0.751659375,1.1370007,0,12.51054,1,ALK_IGFR.MTOR_1
MDA-MB-453,MTOR_1,ALK_IGFR,1,1,0.272983643,10,12.89937471,0.309298729,10,23.39933197,1.396803,1,ALK_IGFR.MTOR_1
HCC1395,PIK3CB_PIK3CD,ALK_IGFR,1,1,0.701618165,0.4740328,24.20922691,0.656757624,1.5914149,11.74081812,66.37348,1,ALK_IGFR.PIK3CB_PIK3CD
HCC1428,PIK3CB_PIK3CD,ALK_IGFR,1,1,0.30993664,10,93.79984629,1.00E-04,0.1,87.68683512,-30.36349,1,ALK_IGFR.PIK3CB_PIK3CD
MDA-MB-453,PIK3CB_PIK3CD,ALK_IGFR,1,1,0.136281059,1.4447749,32.96805293,0.276385811,2.7081657,19.90485282,-4.536145,1,ALK_IGFR.PIK3CB_PIK3CD
MFM-223,PIK3CB_PIK3CD,ALK_IGFR,1,1,0.336723795,10,78.29957572,0.666901816,1.119382,0,14.87154,1,ALK_IGFR.PIK3CB_PIK3CD
HCC1143,ATR_4,AKT,1,1,0.358669899,10,37.99781031,0.275064106,1.1591545,69.5275241,-35.35206,1,AKT.ATR_4
HCC1937,ATR_4,AKT,1,1,1,10,92.8002508,0.161277569,1.0501295,54.83624831,-30.02469,1,AKT.ATR_4
MDA-MB-231,ATR_4,AKT,1,1,1,10,49.00022721,0.122777966,1.9404586,78.15118747,-15.84111,1,AKT.ATR_4
MDA-MB-436,ATR_4,AKT,1,1,1,1.2525266,23.79615714,1,0.8544595,41.00106739,-9.165176,1,AKT.ATR_4
MDA-MB-468,ATR_4,AKT,1,1,0.467279068,10,74.48734375,0.305173609,10,48.39960725,16.51386,1,AKT.ATR_4
HCC1395,BCL2_BCL2L1,ATR_4,1,1,1.00E-04,0.1,86.96087499,0.453450223,1.4525592,0,10.15432,1,ATR_4.BCL2_BCL2L1
HCC1428,BCL2_BCL2L1,ATR_4,1,1,0.1048531,0.6791594,0,1,0.5900947,2.92267033,29.95521,1,ATR_4.BCL2_BCL2L1
Hs-578-T,BCL2_BCL2L1,ATR_4,1,1,0.048602479,2.3238197,66.97518748,0.334945501,10,58.29925039,-40.12297,1,ATR_4.BCL2_BCL2L1
M14,BCL2_BCL2L1,ATR_4,1,1,0.030276614,0.7838273,14.99625481,0.403857904,1.6333577,1.46488635,4.766941,1,ATR_4.BCL2_BCL2L1
HCC1428,MAP2K_1,ATR_4,1,1,0.055202419,10,90.93127156,0.209973927,1.3465085,45.78535969,-13.14593,1,ATR_4.MAP2K_1
HCC1806,MAP2K_1,ATR_4,1,1,0.175708417,0.836415,14.47014025,0.299670538,10,9.09946216,7.633129,1,ATR_4.MAP2K_1
HCC70,MAP2K_1,ATR_4,1,1,0.120771379,0.999181,55.10489565,1,1.1097078,31.94493634,-7.353235,1,ATR_4.MAP2K_1
MDA-MB-436,MAP2K_1,ATR_4,1,1,0.247077953,0.476788,38.88547126,0.317195857,10,65.39963551,8.561145,1,ATR_4.MAP2K_1
CAL-120,MTOR_1,ATR_4,1,1,0.132343587,1.8456728,45.16910485,0.395510408,10,76.39778843,-12.79242,1,ATR_4.MTOR_1
CAMA-1,MTOR_1,ATR_4,1,1,0.410325704,1.8932976,13.56305898,0.378257565,10,56.49739135,-40.55575,1,ATR_4.MTOR_1
HCC1806,MTOR_1,ATR_4,1,1,0.185606233,1.842089,11.10541178,0.311179343,10,9.89920518,-16.94655,1,ATR_4.MTOR_1
MDA-MB-436,MTOR_1,ATR_4,1,1,0.17074674,2.8807603,25.69410527,0.31352356,10,62.1996035,-10.64616,1,ATR_4.MTOR_1
DMS-114,CarboTaxol,BCL2,0.01,3,0.001558236,2.9032436,10.97230323,1.090997085,10,93.89974943,12.01625,1,BCL2.CarboTaxol
NCI-H522,CarboTaxol,BCL2,0.01,3,0.001647166,1.2249118,0,3,0.3232418,17.68158872,16.98015,1,BCL2.CarboTaxol
NCI-H838,CarboTaxol,BCL2,0.01,3,0.001488243,3.6141601,2.34581297,3,0.7853555,50.66721686,14.43927,1,BCL2.CarboTaxol
LS-513,IGFR_4,BCL2,10,3,0.137347975,1.962853,10.7896748,0.792046309,2.0154405,23.65654457,27.75629,1,BCL2.IGFR_4
SW48,IGFR_4,BCL2,10,3,0.089491157,0.5734836,0,0.140911593,1.4023402,20.39916289,38.4631,1,BCL2.IGFR_4
LS-513,MAP2K_1,BCL2,0.3,3,0.086642433,1.7885443,23.66169368,0.925252642,2.0470956,19.75518753,27.76403,1,BCL2.MAP2K_1
SW48,MAP2K_1,BCL2,3,3,0.076418668,1.297105,25.34431909,0.162129313,1.162214,18.14375467,29.97984,1,BCL2.MAP2K_1
NCI-H747,Oxaliplatin,BCL2,3,3,0.297685841,0.5755279,3.17775184,0.957183368,0.9334137,0,-15.57034,1,BCL2.Oxaliplatin
HT-29,Oxaliplatin,BCL2,3,3,1,0,100,3.00E-04,0.1,91.37726156,-54.38078,1,BCL2.Oxaliplatin
NCI-H1563,Topotecan,BCL2,0.1,3,0.030228999,3.6999753,14.59175565,2.954661814,10,0,22.12613,1,BCL2.Topotecan
NCI-H1703,Topotecan,BCL2,0.1,3,0.068851011,2.4439814,0,3,0.8537754,70.6904885,-5.256979,1,BCL2.Topotecan
NCI-H3122,Topotecan,BCL2,0.1,3,0.030102936,2.5604501,2.68553324,0.278723858,10,78.99933576,8.200452,1,BCL2.Topotecan
BT-474,BCL2_2,AKT_1,3,3,1.311395198,10,58.28937652,0.277593744,1.8350974,9.71324083,12.78562,1,AKT_1.BCL2_2
HCC1395,BCL2_2,AKT_1,3,3,3,0.2708437,3.51570969,1.625401667,0.4196371,0,-65.07911,1,AKT_1.BCL2_2
MDA-MB-157,BCL2_2,AKT_1,3,3,1.188163062,4.740805,0,3,0.255839,43.24045236,-8.942741,1,AKT_1.BCL2_2
BT-20,BCL2_BCL2L1,AKT_1,1,1,1,0.567993,57.76712259,0.058064369,0.9830279,66.59710113,17.04246,1,AKT_1.BCL2_BCL2L1
HCC1143,BCL2_BCL2L1,AKT_1,1,1,0.787129499,0.8235477,25.86238824,0.170486776,1.6919151,74.27195398,6.718205,1,AKT_1.BCL2_BCL2L1
HCC1395,BCL2_BCL2L1,AKT_1,1,1,1,0.1783526,86.72133163,0.931828031,0.5924265,0.28428183,-1.07416,1,AKT_1.BCL2_BCL2L1
HCC1806,BCL2_BCL2L1,AKT_1,1,1,1,0,100,0.290258087,1.2404915,15.9468499,6.105531,1,AKT_1.BCL2_BCL2L1
SW780,BCL2_BCL2L1,ATR_4,0.3,3,0.019155392,1.0408955,24.44949385,3,10,38.40020356,2.738121,1,ATR_4.BCL2_BCL2L1
CAL-148,FGFR,BCL2_BCL2L1,1,1,1,0,100,0.328788466,10,43.29915405,10.74788,1,BCL2_BCL2L1.FGFR
HCC1187,FGFR,BCL2_BCL2L1,1,1,1,0,100,1,0,100,-23.24321,1,BCL2_BCL2L1.FGFR
HCC1395,FGFR,BCL2_BCL2L1,1,1,0.01060993,1.9015568,49.49585092,1,0.1829299,88.80575873,9.840028,1,BCL2_BCL2L1.FGFR
HCC1937,FGFR,BCL2_BCL2L1,1,1,1,0,100,0.464168751,1.2124448,58.34450761,8.641153,1,BCL2_BCL2L1.FGFR
MDA-MB-231,FGFR,BCL2_BCL2L1,1,1,1,0,100,0.31633749,10,58.6995703,14.14945,1,BCL2_BCL2L1.FGFR
CAL-120,MAP2K_1,BCL2_BCL2L1,1,1,0.301757548,10,89.69986328,0.094875712,10,52.74961711,2.210898,1,BCL2_BCL2L1.MAP2K_1
HCC70,MAP2K_1,BCL2_BCL2L1,1,1,0.23900247,10,81.48705689,1,0,100,10.92082,1,BCL2_BCL2L1.MAP2K_1
MDA-MB-157,MAP2K_1,BCL2_BCL2L1,1,1,0.039941184,1.5098947,64.28179021,1,0.2164985,82.11828684,5.45353,1,BCL2_BCL2L1.MAP2K_1
MDA-MB-453,MAP2K_1,BCL2_BCL2L1,1,1,1,0,100,0.31557151,10,89.09986673,-20.59789,1,BCL2_BCL2L1.MAP2K_1
BT-549,PIK3CA_4,BCL2_BCL2L1,1,1,0.371840304,4.6094597,83.02428239,0.279380406,10,84.19982768,15.55071,1,BCL2_BCL2L1.PIK3CA_4
HCC1187,PIK3CA_4,BCL2_BCL2L1,1,1,0.205045254,1.6502614,55.98192814,1,0,100,11.34446,1,BCL2_BCL2L1.PIK3CA_4
HCC38,PIK3CA_4,BCL2_BCL2L1,1,1,0.235346228,10,94.47805548,0.17761944,4.0886948,8.73253917,9.851052,1,BCL2_BCL2L1.PIK3CA_4
Hs-578-T,PIK3CA_4,BCL2_BCL2L1,1,1,0.346069666,10,69.99925193,0.012187829,10,87.55032267,-8.906678,1,BCL2_BCL2L1.PIK3CA_4
HCC1419,BCL2L1,AKT,3,3,3,0.1851817,48.12553227,0.897577705,0.6513128,0,80.14851,1,AKT.BCL2L1
HCC1954,BCL2L1,AKT,3,3,0.037705465,0.1,28.78664044,0.197513829,0.4595275,0,67.8827,1,AKT.BCL2L1
MDA-MB-157,BCL2L1,AKT,3,3,3,0.1514905,69.3768591,0.611274572,0.316907,0,60.43975,1,AKT.BCL2L1
MDA-MB-157,BCL2L1,AKT_1,3,3,0.025735296,3.4721982,89.04988283,3,0.2470923,62.0140952,40.90262,1,AKT_1.BCL2L1
MDA-MB-436,BCL2L1,AKT_1,3,3,0.028774443,2.3027795,91.80398089,3,0.2948265,55.55269468,12.80879,1,AKT_1.BCL2L1
MDA-MB-453,BCL2L1,AKT_1,3,3,0.377723717,0.6799642,76.36882217,0.340069075,1.0617077,30.89462935,-26.1504,1,AKT_1.BCL2L1
EVSA-T,MTOR_1,BCL2L1,1,3,0.18242248,1.3354247,0,0.058105164,10,93.27136122,4.172498,1,BCL2L1.MTOR_1
HCC1187,MTOR_1,BCL2L1,1,3,0.098688741,0.8716742,25.13529912,3,0.1306628,30.5761336,51.7746,1,BCL2L1.MTOR_1
MDA-MB-453,MTOR_1,BCL2L1,1,3,0.069356735,1.6727152,9.42570023,3,0.2501469,65.08517827,9.558162,1,BCL2L1.MTOR_1
HCC1954,PIK3C,BCL2L1,3,3,0.875416201,1.4105801,0,0.167093765,0.2035906,24.22939742,7.332337,1,BCL2L1.PIK3C
MDA-MB-436,PIK3C,BCL2L1,3,3,1.365668414,0.9803505,42.31673457,3.00E-04,0.1,89.14509009,-2.02419,1,BCL2L1.PIK3C
T47D,PIK3C,BCL2L1,3,3,0.169085723,1.3533922,26.59477128,3,0.3871042,93.01271584,-7.324946,1,BCL2L1.PIK3C
HCC70,MAP2K_1,BRAF_M2,3,3,1.134123801,3.9014194,22.29178342,3.00E-04,0.1,69.74902181,33.95715,1,BRAF_M2.MAP2K_1
Calu-6,MAP2K_3,BRAF_M2,0.3,3,0.006101896,1.0319,11.92247139,2.60096791,0.6635514,0,72.99028,1,BRAF_M2.MAP2K_3
HCC70,MAP2K_3,BRAF_M2,0.3,3,0.157934699,0.8093723,0,0.143587519,3.4716189,52.2375356,17.70504,1,BRAF_M2.MAP2K_3
MDA-MB-468,MAP2K_3,BRAF_M2,0.3,3,0.083444629,0.7207636,0,0.569190414,1.4686046,40.62565808,123.8324,1,BRAF_M2.MAP2K_3
NCI-H226,MAP2K_3,BRAF_M2,0.3,3,0.003910291,1.1754744,25.56708589,3,1.1612684,23.53723437,46.49948,1,BRAF_M2.MAP2K_3
NCI-H522,MAP2K_3,BRAF_M2,0.3,3,0.3,0.3242523,36.55982852,3,0.1,43.31814705,38.29483,1,BRAF_M2.MAP2K_3
SW900,MAP2K_3,BRAF_M2,0.3,3,0.009723179,0.7649039,0,1.971565975,1.6868179,48.68507978,71.24657,1,BRAF_M2.MAP2K_3
BT-20,CarboTaxol,ATR_4,0.01,3,0.001293151,1.3398002,15.27871789,1.220974786,1.6933584,35.47392445,18.44921,1,ATR_4.CarboTaxol
MDA-MB-436,CarboTaxol,ATR_4,0.01,3,0.000593756,0.9486563,18.80626041,0.970305467,10,61.89951623,18.06379,1,ATR_4.CarboTaxol
MDA-MB-453,CarboTaxol,ATR_4,0.01,3,0.002075777,2.6516115,24.92378837,0.59300047,1.8689566,7.28407993,7.074139,1,ATR_4.CarboTaxol
NCI-H1299,CarboTaxol,ATR_4,0.01,3,0.003051142,2.3951385,17.77042683,1.132615788,10,40.4964961,-22.27042,1,ATR_4.CarboTaxol
NCI-H1703,CarboTaxol,ATR_4,0.01,3,0.00236734,3.1265767,7.76946945,0.581683843,1.8865337,12.78967632,-13.78664,1,ATR_4.CarboTaxol
NCI-H1563,CarboTaxol,BCL2L1,0.003,3,0.000381623,0.4365425,0,0.259961955,0.1,41.84346743,-35.32661,1,BCL2L1.CarboTaxol
NCI-H1793,CarboTaxol,BCL2L1,0.01,3,0.001713771,5.0202263,18.48203208,2.521401073,0.6103643,7.8439113,12.69369,1,BCL2L1.CarboTaxol
NCI-H2228,CarboTaxol,BCL2L1,0.003,3,0.001064842,0.6561295,0,0.20699726,0.7710833,37.70799868,49.68765,1,BCL2L1.CarboTaxol
NCI-H1703,IAP,CHEK1,0.01,0.1,0.000474223,1.9692613,19.66335579,0.011921091,1.267374,17.27719501,5.634045,1,CHEK1.IAP
NCI-H1793,IAP,CHEK1,3,1,1.624157009,0.9994085,46.02822789,0.229907905,4.3030481,8.24114315,51.64542,1,CHEK1.IAP
NCI-H838,IAP,CHEK1,1,1,0.002675764,0.4400314,16.83876795,0.22097996,3.0879504,3.67220635,30.49006,1,CHEK1.IAP
SW780,IAP,CHEK1,0.03,3,0.001738738,0.5088857,33.84597379,1.103124546,10,18.19628645,-105.8234,1,CHEK1.IAP
HCC1569,Chloroquine,AKT,10,3,10,0.7600534,45.44729823,0.935576624,0.5382314,0,-1.601038,1,AKT.Chloroquine
MDA-MB-415,Chloroquine,AKT,10,3,1,0,100,0.002186116,0.5992974,10.20334029,-0.03983346,1,AKT.Chloroquine
BT-20,Chloroquine,AKT_1,3,3,0.648056956,1.243215,53.3920437,0.896469339,0.8392781,19.48791758,21.74764,1,AKT_1.Chloroquine
HCC1187,Chloroquine,AKT_1,10,3,1,0,100,0.089229655,1.1990363,39.11784541,-2.39969,1,AKT_1.Chloroquine
HCC70,Chloroquine,AKT_1,10,3,0.37341892,1.5895237,54.45447051,1.007855783,0.5019029,0,-3.970954,1,AKT_1.Chloroquine
BT-20,PIK3C,Chloroquine,3,3,1.044902953,10,37.99834263,1.143089189,10,77.39853823,58.97872,1,Chloroquine.PIK3C
MDA-MB-157,PIK3C,Chloroquine,3,10,3,0.2443426,7.16511144,0.029233326,1.2303234,68.87533493,-24.85075,1,Chloroquine.PIK3C
T47D,PIK3C,Chloroquine,3,10,0.235029556,0.9789888,15.39980902,10,0.1407211,82.66092519,-14.80213,1,Chloroquine.PIK3C
HT-1197,Cisplatin,AKT,3,1,0.606535515,1.0930815,27.72171755,1,0.5101716,25.69050175,22.90346,1,AKT.Cisplatin
