"CELL_LINE","COMPOUND_A","COMPOUND_B","MAX_CONC_A","MAX_CONC_B","IC50_A","H_A","Einf_A","IC50_B","H_B","Einf_B","SYNERGY_SCORE","QA","COMBINATION_ID"
"MDA-MB-436","ADAM17","AKT_1",1,75,1,0,100,1,0,100,12.30318,1,"ADAM17.AKT_1"
"MDA-MB-453","ADAM17","AKT_1",1,75,0.100009482,1.4188502,10.60044102,1,0,100,15.65336,1,"ADAM17.AKT_1"
"MDA-MB-468","ADAM17","AKT_1",1,75,1,0.5992305,38.72523137,1,0,100,30.07998,1,"ADAM17.AKT_1"
"MFM-223","ADAM17","AKT_1",1,75,0.209172193,1.6311037,29.39001943,1,0,100,29.93092,1,"ADAM17.AKT_1"
"COLO-205","AKT","BRAF_M2",3,3,0.624745414,0.8961965,0,1.476516665,4.7217227,0,11.03762,1,"AKT.BRAF_M2"
"NCI-H747","AKT","BRAF_M2",3,3,1.057890223,0.5870726,0,0.318676232,0.6558825,0,2.374683,1,"AKT.BRAF_M2"
"HCT-116","AKT","BRAF_M2",3,3,1.130508163,10,17.09520511,1.132532884,10,6.99452993,19.755,1,"AKT.BRAF_M2"
"LS-513","AKT","BRAF_M2",3,3,0.677036527,1.3999962,0,1.687814592,1.6171657,65.44745457,-1.617139,1,"AKT.BRAF_M2"
"SW48","AKT","BRAF_M2",3,3,0.301667933,10,76.54994484,3,0.7431682,37.1612482,-8.593796,1,"AKT.BRAF_M2"
"SW948","AKT","BRAF_M2",3,1,1.276169977,10,72.59468298,1,1.1874286,38.36693846,11.19172,1,"AKT.BRAF_M2"
"BT-474","AKT","CHK1",1,1,0.262879069,10,41.59859975,0.166167927,2.4520966,15.94451518,-18.49978,1,"AKT.CHK1"
"CAMA-1","AKT","CHK1",1,1,0.096531998,10,47.04957207,0.210737021,0.5932025,8.1450333,9.746266,1,"AKT.CHK1"
"HCC1500","AKT","CHK1",1,1,0.211343566,1.626177,0,1,0.7238752,46.06650862,-18.37511,1,"AKT.CHK1"
"MCF7","AKT","CHK1",1,1,0.063479645,2.3058096,10.23057926,0.043914585,10,65.73374566,-0.1174696,1,"AKT.CHK1"
"MDA-MB-361","AKT","CHK1",1,1,0.05736046,2.5230033,64.6289331,0.216938225,2.6619398,34.93851366,-8.800858,1,"AKT.CHK1"
"T47D","AKT","CHK1",1,1,0.053295819,1.640232,63.53166123,0.113584786,10,38.69833362,-17.74842,1,"AKT.CHK1"
"UACC-812","AKT","CHK1",1,1,0.151095399,3.5366162,4.72681219,1,0,100,1.773454,1,"AKT.CHK1"
"BT-474","AKT","ESR1_1",1,1,1e-04,0.1,62.67896911,0.156505978,2.2404911,16.35241135,45.66605,1,"AKT.ESR1_1"
"CAMA-1","AKT","ESR1_1",1,1,1e-04,0.1,62.48817499,0.165522081,2.5527783,40.30267078,43.85263,1,"AKT.ESR1_1"
"HCC1419","AKT","ESR1_1",1,1,0.009213907,10,51.14993628,0.093283776,0.3459633,0,11.2732,1,"AKT.ESR1_1"
"HCC1500","AKT","ESR1_1",1,1,0.006241175,10,7.1749981,0.426250256,2.7643361,64.31359888,-2.575154,1,"AKT.ESR1_1"
"MCF7","AKT","ESR1_1",1,1,1e-04,0.1,10.55050865,0.330584891,10,72.69957057,44.73092,1,"AKT.ESR1_1"
"MDA-MB-361","AKT","ESR1_1",1,1,1,0.2977979,51.6137646,0.281227976,10,36.59974194,45.86964,1,"AKT.ESR1_1"
"T47D","AKT","ESR1_1",1,1,1e-04,0.1,25.82524769,0.110397245,10,39.49877033,1.494429,1,"AKT.ESR1_1"
"UACC-812","AKT","ESR1_1",1,1,1,0,100,1,0,100,4.824489,1,"AKT.ESR1_1"
"647-V","AKT","HSP90",3,3,0.164884643,4.7815987,4.64223353,0.895084183,1.5114777,2.31310744,-21.24218,1,"AKT.HSP90"
"BFTC-905","AKT","HSP90",3,3,0.117753986,2.7541851,1.23121712,0.234232788,4.9588985,52.46648335,14.20981,1,"AKT.HSP90"
"BT-474","AKT","HSP90",1,1,0.0481025,2.5216275,5.17585123,0.155608471,2.1618873,14.79242214,-2.353419,1,"AKT.HSP90"
"CAMA-1","AKT","HSP90",1,1,0.15791545,2.3784569,15.57883194,0.159302161,1.2747619,15.41380736,-8.721228,1,"AKT.HSP90"
"HCC1419","AKT","HSP90",1,1,0.072945636,1.3160405,9.49123873,0.199349103,2.8010948,51.91423216,5.071315,1,"AKT.HSP90"
"HCC1500","AKT","HSP90",1,1,0.082539431,1.9727149,0,1,1.5037606,46.62695183,2.502638,1,"AKT.HSP90"
"HT-1197","AKT","HSP90",3,1,0.1268359,2.4121,23.19913881,0.229258407,0.7514938,39.09034602,6.299774,1,"AKT.HSP90"
"HT-1376","AKT","HSP90",3,3,0.091179663,1.980637,15.25632295,0.282343933,0.3129376,0,7.747778,1,"AKT.HSP90"
"J82","AKT","HSP90",3,3,0.094199061,1.7461726,11.51169679,1.517283107,0.6809067,0,6.904546,1,"AKT.HSP90"
"MCF7","AKT","HSP90",1,1,0.037237902,2.7277081,9.07723166,0.371986433,9.5240857,53.59623214,-0.5910093,1,"AKT.HSP90"
"MDA-MB-175-VII","AKT","HSP90",1,1,0.044475899,1.9897267,12.26704876,0.261069394,2.0806119,40.13009902,-28.37227,1,"AKT.HSP90"
"MDA-MB-361","AKT","HSP90",1,1,0.115436792,1.8886882,3.50525097,0.206106918,2.410108,33.22597973,-4.521677,1,"AKT.HSP90"
"SW780","AKT","HSP90",0.3,3,0.244967511,3.8533806,0,0.235853542,2.1743725,28.3827409,-32.43533,1,"AKT.HSP90"
"T-24","AKT","HSP90",0.3,3,0.089324833,10,7.09911858,1,0,100,-12.09809,1,"AKT.HSP90"
"T47D","AKT","HSP90",1,1,0.069636044,3.9590854,20.62007624,0.114067922,10,42.29830155,-1.566775,1,"AKT.HSP90"
"TCCSUP","AKT","HSP90",0.3,3,0.126070867,1.7483263,0,0.619367721,0.4810902,46.03347343,41.45557,1,"AKT.HSP90"
"UACC-812","AKT","HSP90",1,1,0.037052077,10,0,1e-04,0.1,94.05335886,3.86787,1,"AKT.HSP90"
"UM-UC-3","AKT","HSP90",0.3,3,0.113347038,10,12.69482407,1.166888931,10,85.79887329,2.708329,1,"AKT.HSP90"
"VM-CUB-1","AKT","HSP90",0.3,3,0.162369981,2.7697817,0,1.807689931,1.4137101,0,-33.07982,1,"AKT.HSP90"
"BT-474","AKT","MTOR_3",1,1,1e-04,0.1,7.26398119,0.13813016,1.1252096,3.75859071,7.948591,1,"AKT.MTOR_3"
"CAMA-1","AKT","MTOR_3",1,1,1e-04,0.1,33.55069701,0.145134176,3.2134058,46.50909185,42.5726,1,"AKT.MTOR_3"
"HCC1419","AKT","MTOR_3",1,1,0.00312445,0.7072664,47.7275549,0.303729503,10,38.39957518,14.39868,1,"AKT.MTOR_3"
"HCC1500","AKT","MTOR_3",1,1,0.00017544,0.3529201,5.14942691,1,0.6039297,42.5631062,6.896838,1,"AKT.MTOR_3"
"MCF7","AKT","MTOR_3",1,1,0.00052766,0.1330032,0,0.472973752,3.28769,56.80497042,35.25192,1,"AKT.MTOR_3"
"MDA-MB-361","AKT","MTOR_3",1,1,0.00164708,0.5517046,64.77756921,0.272993043,1.9834687,32.57541568,41.5059,1,"AKT.MTOR_3"
"T47D","AKT","MTOR_3",1,1,1e-04,0.1105128,0,0.103626618,10,44.3994041,-7.032471,1,"AKT.MTOR_3"
"UACC-812","AKT","MTOR_3",1,1,1,0,100,1,0,100,-32.04181,1,"AKT.MTOR_3"
"647-V","AKT","PIK3C",3,3,0.988861935,1.306293,33.88860761,0.50695944,1.194228,0,-3.249758,1,"AKT.PIK3C"
"BFTC-905","AKT","PIK3C",3,3,1.014545099,10,43.09887523,0.241408278,3.4903101,49.03388429,49.03973,1,"AKT.PIK3C"
"BT-20","AKT","PIK3C",1,1,0.187908361,1.4715928,40.52805862,1,0.9126766,63.27606074,20.64823,1,"AKT.PIK3C"
"BT-549","AKT","PIK3C",1,1,0.284073443,2.8876883,34.72194975,0.256966101,1.6362866,44.81250853,6.55894,1,"AKT.PIK3C"
"CAL-148","AKT","PIK3C",1,1,0.318969239,10,44.49939401,0.152555299,1.4404982,0,4.55339,1,"AKT.PIK3C"
"CAL-51","AKT","PIK3C",1,1,0.759391307,0.8316243,0,0.905697033,0.6741229,2.76615978,16.37219,1,"AKT.PIK3C"
"CAMA-1","AKT","PIK3C",1,1,1,1.4202852,4.16907204,0.107681383,1.5501315,13.61704587,12.56311,1,"AKT.PIK3C"
"DU-4475","AKT","PIK3C",1,1,0.152148192,2.7267571,0,0.357212084,10,38.09790277,26.77558,1,"AKT.PIK3C"
"HCC1143","AKT","PIK3C",1,1,1,0.498051,2.27039011,0.574249317,0.5252714,53.76584659,5.568741,1,"AKT.PIK3C"
"HCC1187","AKT","PIK3C",1,1,0.187043923,2.3819237,27.7296514,0.322742852,2.1544666,57.33774469,6.440567,1,"AKT.PIK3C"
"HCC1395","AKT","PIK3C",1,1,0.364531581,2.5508669,46.83639408,0.237627392,1.6723082,54.68059381,10.23176,1,"AKT.PIK3C"
"HCC1428","AKT","PIK3C",1,1,0.012110315,4.9261627,83.22741633,1e-04,0.1,93.14558836,-24.72811,1,"AKT.PIK3C"
"HCC1806","AKT","PIK3C",1,1,0.29736762,2.9532759,14.28326196,0.333517963,10,66.59941528,18.52134,1,"AKT.PIK3C"
"HCC1937","AKT","PIK3C",1,1,0.272450177,1.2149533,62.19720623,0.145116851,1.0550973,68.40049798,5.996411,1,"AKT.PIK3C"
"HCC38","AKT","PIK3C",1,1,0.271495375,10,80.29826107,0.367078146,10,80.39912736,-33.5156,1,"AKT.PIK3C"
"HCC70","AKT","PIK3C",1,1,1,10,25.60028585,0.286062971,10,16.49889551,-11.95046,1,"AKT.PIK3C"
"Hs-578-T","AKT","PIK3C",1,1,0.331491153,10,49.49917469,0.317839834,1.8652997,53.44244813,12.88061,1,"AKT.PIK3C"
"HT-1197","AKT","PIK3C",3,1,0.982223451,10,61.99938609,0.336801521,1.1118513,52.55942606,8.828838,1,"AKT.PIK3C"
"HT-1376","AKT","PIK3C",3,3,0.936395423,10,50.19950568,0.181969863,0.9695795,35.76112736,12.65012,1,"AKT.PIK3C"
"J82","AKT","PIK3C",3,3,0.294406874,1.8839895,46.57158061,1.688174694,0.6536361,0,17.44721,1,"AKT.PIK3C"
"MDA-MB-157","AKT","PIK3C",1,1,0.088907212,0.8073329,59.92270099,1,0.6994563,43.67513347,16.73299,1,"AKT.PIK3C"
"MDA-MB-231","AKT","PIK3C",1,1,0.211439736,2.4974047,72.65214173,0.308651573,10,82.99983781,11.88889,1,"AKT.PIK3C"
"MDA-MB-436","AKT","PIK3C",1,1,0.276367425,2.0373856,52.7486527,0.254585902,10,77.79893582,-21.98074,1,"AKT.PIK3C"
"MDA-MB-453","AKT","PIK3C",1,1,0.205198999,1.8673795,6.455205,0.234021214,1.1865125,13.66826601,13.25902,1,"AKT.PIK3C"
"MDA-MB-468","AKT","PIK3C",1,1,1,2.0976148,41.84147302,0.302651726,1.7154281,30.4201134,1.684107,1,"AKT.PIK3C"
"MFM-223","AKT","PIK3C",1,1,0.298398859,1.0833863,23.80288205,0.124647275,0.8689376,0,5.560472,1,"AKT.PIK3C"
"M14","AKT","PIK3C",1,1,0.130247537,1.7695484,50.06692656,0.350069378,0.8705565,0,10.8356,1,"AKT.PIK3C"
"SW780","AKT","PIK3C",3,3,3,4.4946694,56.60013601,0.179986008,1.0937442,11.3720198,-149.8408,1,"AKT.PIK3C"
"T-24","AKT","PIK3C",3,3,3,10,20.60008828,1,0,100,-34.99983,1,"AKT.PIK3C"
"TCCSUP","AKT","PIK3C",1,3,0.30081664,10,55.79968053,0.411362917,0.638191,51.70703581,22.79093,1,"AKT.PIK3C"
"UM-UC-3","AKT","PIK3C",3,3,1.544463,1.5219836,20.78597382,1.034770346,10,80.49953133,5.020742,1,"AKT.PIK3C"
"VM-CUB-1","AKT","PIK3C",3,3,0.129269128,10,33.73410238,0.032141655,10,57.1999935,-105.6265,1,"AKT.PIK3C"
"647-V","AKT","PIK3CB_PIK3CD",3,3,0.476703147,1.1380178,1.86205946,0.520198487,1.6583712,4.13561873,1.675301,1,"AKT.PIK3CB_PIK3CD"
"BFTC-905","AKT","PIK3CB_PIK3CD",3,3,0.190372154,0.8517135,25.1430581,0.108989183,0.9171149,31.30334501,27.88946,1,"AKT.PIK3CB_PIK3CD"
"BT-20","AKT","PIK3CB_PIK3CD",1,1,0.28377207,0.7816066,82.26225505,0.120269852,10,84.59922079,12.00453,1,"AKT.PIK3CB_PIK3CD"
"BT-549","AKT","PIK3CB_PIK3CD",1,1,0.384366616,0.4189442,0,0.734602926,0.7168019,0,4.066007,1,"AKT.PIK3CB_PIK3CD"
"CAL-120","AKT","PIK3CB_PIK3CD",1,1,0.101816761,10,60.44957206,0.322297999,0.694642,42.8930617,2.85328,1,"AKT.PIK3CB_PIK3CD"
"CAL-148","AKT","PIK3CB_PIK3CD",1,1,0.504788026,1.8256188,0,0.155973356,1.3562287,0,7.334245,1,"AKT.PIK3CB_PIK3CD"
"CAL-51","AKT","PIK3CB_PIK3CD",1,1,1,0.2998086,64.55481291,0.763363532,0.6966621,0,-5.175506,1,"AKT.PIK3CB_PIK3CD"
"CAMA-1","AKT","PIK3CB_PIK3CD",1,1,0.222598802,0.7695118,0,0.137162999,1.0031139,4.21045547,17.13698,1,"AKT.PIK3CB_PIK3CD"
"HCC1143","AKT","PIK3CB_PIK3CD",1,1,0.590823141,0.6999562,40.69382448,0.272930592,1.2307769,69.96354735,-5.934622,1,"AKT.PIK3CB_PIK3CD"
"HCC1187","AKT","PIK3CB_PIK3CD",1,1,0.26460945,10,76.09966762,0.307323373,10,57.49967122,16.53342,1,"AKT.PIK3CB_PIK3CD"
"HCC1395","AKT","PIK3CB_PIK3CD",1,1,0.057994403,0.4653065,50.6596056,1,0.8170234,0,11.27945,1,"AKT.PIK3CB_PIK3CD"
"HCC1428","AKT","PIK3CB_PIK3CD",1,1,0.377688353,10,92.2995439,0.175555361,10,93.0481394,-5.450394,1,"AKT.PIK3CB_PIK3CD"
"HCC1806","AKT","PIK3CB_PIK3CD",1,1,1,0,100,0.342691592,10,66.99925307,16.91227,1,"AKT.PIK3CB_PIK3CD"
"HCC1937","AKT","PIK3CB_PIK3CD",1,1,0.126571323,0.5051898,60.90695995,0.372454812,0.6676886,52.32466253,8.708446,1,"AKT.PIK3CB_PIK3CD"
"HCC38","AKT","PIK3CB_PIK3CD",1,1,1,2.3218512,45.53537818,1,0.3340221,74.16009543,-12.54925,1,"AKT.PIK3CB_PIK3CD"
"HCC70","AKT","PIK3CB_PIK3CD",1,1,0.189448564,3.2848468,12.98048473,0.273672336,10,17.59777508,11.02654,1,"AKT.PIK3CB_PIK3CD"
"Hs-578-T","AKT","PIK3CB_PIK3CD",1,1,1,0.3671442,28.05295976,0.668370681,0.4036648,0,-26.64136,1,"AKT.PIK3CB_PIK3CD"
"HT-1197","AKT","PIK3CB_PIK3CD",3,1,0.180983833,10,86.62153138,1,0.468023,12.05652117,-19.83776,1,"AKT.PIK3CB_PIK3CD"
"HT-1376","AKT","PIK3CB_PIK3CD",3,3,0.092443399,1.08285,49.79598661,0.110470674,1.5400687,43.9097992,8.457189,1,"AKT.PIK3CB_PIK3CD"
"J82","AKT","PIK3CB_PIK3CD",3,3,3,0.5477608,2.92774603,0.82382562,1.1781983,29.3921263,16.39731,1,"AKT.PIK3CB_PIK3CD"
"MDA-MB-157","AKT","PIK3CB_PIK3CD",1,1,0.030400614,0.9050565,53.89398462,0.138018176,0.7083011,61.03584124,8.053541,1,"AKT.PIK3CB_PIK3CD"
"MDA-MB-231","AKT","PIK3CB_PIK3CD",1,1,1,0.3365567,55.36265964,0.281237268,10,81.09987367,-1.361709,1,"AKT.PIK3CB_PIK3CD"
"MDA-MB-436","AKT","PIK3CB_PIK3CD",1,1,0.148179807,0.9571378,66.4677012,0.196218086,2.9747943,75.29720168,-7.768931,1,"AKT.PIK3CB_PIK3CD"
"MDA-MB-453","AKT","PIK3CB_PIK3CD",1,1,0.116005502,1.1420695,36.95859667,0.210098191,1.1822223,12.46553043,-4.421594,1,"AKT.PIK3CB_PIK3CD"
"MDA-MB-468","AKT","PIK3CB_PIK3CD",1,1,0.321044041,10,80.39974271,0.30071191,10,40.89964101,-8.592867,1,"AKT.PIK3CB_PIK3CD"
"MFM-223","AKT","PIK3CB_PIK3CD",1,1,1,0.5857822,31.43771595,0.119278429,1.042421,4.71365406,-8.049212,1,"AKT.PIK3CB_PIK3CD"
"22RV1","AKT","PIK3CB_PIK3CD",1,1,0.314314497,10,83.39983779,1,0.4009641,32.64476499,2.586357,1,"AKT.PIK3CB_PIK3CD"
"VCaP","AKT","PIK3CB_PIK3CD",1,1,0.255243283,10,87.89724226,0.238607498,1.5709475,62.15229625,-13.8341,1,"AKT.PIK3CB_PIK3CD"
"M14","AKT","PIK3CB_PIK3CD",1,1,0.33754626,2.1439096,19.72823216,0.259451091,2.4936789,32.27816587,18.08879,1,"AKT.PIK3CB_PIK3CD"
"SW780","AKT","PIK3CB_PIK3CD",3,3,1,0,100,0.311213722,1.768544,26.17768318,-41.78893,1,"AKT.PIK3CB_PIK3CD"
"T-24","AKT","PIK3CB_PIK3CD",3,3,3,10,92.60055586,1,0,100,-34.44262,1,"AKT.PIK3CB_PIK3CD"
"TCCSUP","AKT","PIK3CB_PIK3CD",3,3,3,0.3538044,16.62196408,0.068281021,1.2283684,57.33824326,-18.87638,1,"AKT.PIK3CB_PIK3CD"
"UM-UC-3","AKT","PIK3CB_PIK3CD",3,3,0.825563202,1.2863574,71.60414454,1.230526679,2.323127,76.91644561,-0.6659007,1,"AKT.PIK3CB_PIK3CD"
"VM-CUB-1","AKT","PIK3CB_PIK3CD",3,3,3,1.0228534,43.67339236,0.496158997,1.8008322,67.33791107,28.28845,1,"AKT.PIK3CB_PIK3CD"
"BT-474","AKT","PIK3C_MTOR",1,1,0.134615322,1.5597576,0,0.156085465,1.816642,12.53771517,9.121333,1,"AKT.PIK3C_MTOR"
"CAMA-1","AKT","PIK3C_MTOR",1,1,0.141019154,1.4222605,18.72403126,0.102176709,1.1865978,19.09419171,-14.26534,1,"AKT.PIK3C_MTOR"
"HCC1419","AKT","PIK3C_MTOR",1,1,0.152587902,2.6643509,12.74408272,0.230205655,1.8582151,45.3928103,14.31428,1,"AKT.PIK3C_MTOR"
"HCC1500","AKT","PIK3C_MTOR",1,1,0.086377667,1.5152534,0,0.286181082,2.4894595,67.42668887,6.412129,1,"AKT.PIK3C_MTOR"
"MCF7","AKT","PIK3C_MTOR",1,1,0.072928267,1.8040936,2.06809134,0.670677817,1.3188875,42.69545511,9.916361,1,"AKT.PIK3C_MTOR"
"MDA-MB-361","AKT","PIK3C_MTOR",1,1,0.128908402,1.1197809,3.59946342,0.237761951,1.5819755,25.43671543,17.06829,1,"AKT.PIK3C_MTOR"
"T47D","AKT","PIK3C_MTOR",1,1,0.029419566,6.0636597,56.29875563,0.104214775,10,43.49936201,-11.03173,1,"AKT.PIK3C_MTOR"
"UACC-812","AKT","PIK3C_MTOR",1,1,0.281584856,10,17.79965809,1e-04,0.1,94.05336611,-3.107544,1,"AKT.PIK3C_MTOR"
"647-V","AKT","PIM1",3,3,1,0,100,0.649911382,1.3229984,0,31.1299,1,"AKT.PIM1"
"BFTC-905","AKT","PIM1",3,3,0.332004138,10,69.19995936,0.191157622,1.5472914,35.2540948,21.04144,1,"AKT.PIM1"
"HT-1197","AKT","PIM1",3,1,3,0.319006,72.39865153,0.057340865,1.1438321,64.88956457,64.00499,1,"AKT.PIM1"
"HT-1376","AKT","PIM1",3,3,1.016300324,10,75.19949347,0.125821292,0.5839777,24.76491851,32.48109,1,"AKT.PIM1"
"J82","AKT","PIM1",3,3,0.707899436,1.592629,83.73327185,0.487833283,1.384437,44.1566412,39.25554,1,"AKT.PIM1"
"22RV1","AKT","PIM1",10,1,0.389512228,1.5152547,83.63984212,0.404635667,10,72.79679947,49.43605,1,"AKT.PIM1"
"VCaP","AKT","PIM1",10,1,0.957346259,0.5452477,72.95245624,0.335129458,1.9356164,63.33148917,19.2777,1,"AKT.PIM1"
"SW780","AKT","PIM1",3,3,0.069743237,2.0150709,76.79290713,0.17673805,1.4709098,24.62823656,-23.37301,1,"AKT.PIM1"
"T-24","AKT","PIM1",3,3,3e-04,0.1,92.86025471,1,0,100,-42.96131,1,"AKT.PIM1"
"TCCSUP","AKT","PIM1",3,3,1,0,100,0.591217573,1.4920931,66.37766295,101.2095,1,"AKT.PIM1"
"UM-UC-3","AKT","PIM1",3,3,1,0,100,1.075910101,10,84.29944609,13.85252,1,"AKT.PIM1"
"BT-474","AKT","Proteasome_2",1,1,0.008199822,2.7800428,4.34332965,0.170234854,1.2768649,3.66088223,2.450708,1,"AKT.Proteasome_2"
"CAMA-1","AKT","Proteasome_2",1,1,0.003122963,1.436114,19.86862856,0.091962015,10,51.14956765,35.33001,1,"AKT.Proteasome_2"
"HCC1419","AKT","Proteasome_2",1,1,0.009768988,2.0198526,11.85022888,0.290944158,1.9059665,40.27428444,7.633107,1,"AKT.Proteasome_2"
"HCC1500","AKT","Proteasome_2",1,1,0.008261464,10,0,0.32335531,10,73.19965639,7.680242,1,"AKT.Proteasome_2"
"MCF7","AKT","Proteasome_2",1,1,1e-04,0.4971377,2.35621579,1,1.9367476,35.49562554,0.2003727,1,"AKT.Proteasome_2"
"MDA-MB-361","AKT","Proteasome_2",1,1,0.004053816,0.5609864,10.46089806,0.259748517,1.9363446,26.48146421,17.49055,1,"AKT.Proteasome_2"
"T47D","AKT","Proteasome_2",1,1,0.007535225,2.0743538,14.93729986,0.104304292,10,42.44932163,3.306252,1,"AKT.Proteasome_2"
"UACC-812","AKT","Proteasome_2",1,1,0.00013205,7.6210386,0,0.172440936,0.6653294,88.53372575,3.855501,1,"AKT.Proteasome_2"
"BT-474","AKT","TKI_2",1,1,1,0,100,0.16918258,1.8192566,10.39890473,-26.29223,1,"AKT.TKI_2"
"CAMA-1","AKT","TKI_2",1,1,1,0,100,0.169269522,1.8568487,11.92431723,16.77206,1,"AKT.TKI_2"
"HCC1500","AKT","TKI_2",1,1,0.218366268,2.3191205,83.81541599,0.435187568,0.9579893,51.3356909,17.11721,1,"AKT.TKI_2"
"MDA-MB-361","AKT","TKI_2",1,1,0.38846733,10,94.29955363,0.232796861,1.9048244,28.78177421,5.263234,1,"AKT.TKI_2"
"T47D","AKT","TKI_2",1,1,0.976601696,9.9761614,90.1570724,0.103670785,1.8469654,33.62289667,-11.24858,1,"AKT.TKI_2"
"UACC-812","AKT","TKI_2",1,1,0.124052828,10,70.7514893,1,0,100,-34.36082,1,"AKT.TKI_2"
"BT-474","AKT","gSEC",1,1,0.418660394,10,88.39808085,0.1516955,2.382827,18.56325424,4.708379,1,"AKT.gSEC"
"HCC1500","AKT","gSEC",1,1,0.999999963,0.5679184,75.38535809,1,0.9646808,54.01544005,25.25268,1,"AKT.gSEC"
"MCF7","AKT","gSEC",1,1,1e-04,0.1,94.84601579,0.137483464,10,50.44269859,-27.15157,1,"AKT.gSEC"
"MDA-MB-361","AKT","gSEC",1,1,1,0,100,0.301516129,1.2598404,18.89367574,2.128106,1,"AKT.gSEC"
"T47D","AKT","gSEC",1,1,0.097886977,10,92.94998087,0.115248227,3.6056319,36.65889846,20.02792,1,"AKT.gSEC"
"BT-20","AKT_1","PIK3CA_4",1,1,0.171074493,1.2385138,61.81302326,0.294614343,0.8841678,53.66649262,12.44051,1,"AKT_1.PIK3CA_4"
"BT-549","AKT_1","PIK3CA_4",1,1,1,0.9199525,59.86198313,0.919705331,0.7034436,0,29.14235,1,"AKT_1.PIK3CA_4"
"CAL-120","AKT_1","PIK3CA_4",1,1,1,0,100,0.271973214,10,90.09995398,11.88529,1,"AKT_1.PIK3CA_4"
"CAL-148","AKT_1","PIK3CA_4",1,1,0.338068786,10,62.99927267,0.296484605,1.0414744,0,77.54017,1,"AKT_1.PIK3CA_4"
"CAL-51","AKT_1","PIK3CA_4",1,1,0.348693873,10,70.2992094,0.332814264,10,73.99956293,28.64523,1,"AKT_1.PIK3CA_4"
"CAMA-1","AKT_1","PIK3CA_4",1,1,0.306140217,10,89.09988618,0.52624064,1.2829344,0,5.979654,1,"AKT_1.PIK3CA_4"
"DU-4475","AKT_1","PIK3CA_4",1,1,0.106672992,10,58.99933652,0.173647013,0.9342829,0,33.68673,1,"AKT_1.PIK3CA_4"
"HCC1143","AKT_1","PIK3CA_4",1,1,1,0.4234331,47.38609973,1,0.5984622,52.75549584,1.160531,1,"AKT_1.PIK3CA_4"
"HCC1187","AKT_1","PIK3CA_4",1,1,0.273488489,1.0782057,40.23961717,0.106407575,0.9362095,38.45656972,44.53943,1,"AKT_1.PIK3CA_4"
"HCC1395","AKT_1","PIK3CA_4",1,1,1,10,92.60012782,0.187904021,1.547036,49.45554865,3.993032,1,"AKT_1.PIK3CA_4"
